站名,座標,緯度,經度
平德路一,24.92684+121.19269,24.92684,121.19269
三座厝,24.97335+121.19875,24.97335,121.19875
掬水軒,24.93347+121.19951,24.93347,121.19951
文化國小,24.95336+121.20322,24.95336,121.20322
頂後湖,24.97703+121.09628,24.97703,121.09628
後湖塘橋,24.97981+121.09133,24.97981,121.09133
下後湖,24.98347+121.08866,24.98347,121.08866
尾湖,24.98866+121.08364,24.98866,121.08364
上羅厝,24.99163+121.08297,24.99163,121.08297
復旦集會所,24.95451+121.20557,24.95451,121.20557
復旦國小,24.95456+121.20757,24.95456,121.20757
下舊社,24.97033+121.21531,24.97033,121.21531
合作街口,24.95455+121.20931,24.95455,121.20931
廣東路口,24.95438+121.21135,24.95438,121.21135
廣平街口,24.95426+121.21289,24.95426,121.21289
元氣東京,24.95294+121.21427,24.95294,121.21427
振興西路,24.94647+121.21272,24.94647,121.21272
新榮路,24.94703+121.21509,24.94703,121.21509
仁仁幼兒園,24.93397+121.19475,24.93397,121.19475
宋屋里,24.9393+121.19876,24.9393,121.19876
莒光街口,24.99538+121.30311,24.99538,121.30311
中福街口,24.9977+121.30333,24.9977,121.30333
家興新村,24.96731+121.21618,24.96731,121.21618
永安路,24.99783+121.30486,24.99783,121.30486
中正三民路口,24.9996+121.30801,24.9996,121.30801
中正三街口,25.00073+121.30021,25.00073,121.30021
長榮富豪,25.02541+121.30035,25.02541,121.30035
向善街口,25.01801+121.31095,25.01801,121.31095
建國路,24.98532+121.31099,24.98532,121.31099
建國路口,24.98528+121.31112,24.98528,121.31112
民有十一街口,25.0108+121.31201,25.0108,121.31201
寶山街口(慈濟靜思堂),25.01039+121.31348,25.01039,121.31348
柑園,24.96419+121.21709,24.96419,121.21709
大業國小,25.00694+121.31616,25.00694,121.31616
青溪國小,24.99928+121.31758,24.99928,121.31758
青溪國中,24.99749+121.31832,24.99749,121.31832
中央街口,24.99449+121.31784,24.99449,121.31784
成功路口,24.99482+121.31637,24.99482,121.31637
東門國小,24.99371+121.31548,24.99371,121.31548
民生路口,24.99317+121.31374,24.99317,121.31374
桃園國小,24.99241+121.31117,24.99241,121.31117
春日健行路口,25.0221+121.30767,25.0221,121.30767
中正藝文特區,25.01468+121.29931,25.01468,121.29931
李氏宗祠,25.0199+121.28266,25.0199,121.28266
SOGO二館,24.95803+121.2197,24.95803,121.2197
銀店埤,25.0195+121.28625,25.0195,121.28625
莊二街,25.02297+121.29156,25.02297,121.29156
中正晶華,25.02378+121.29347,25.02378,121.29347
莊敬敬三街口,25.02166+121.29068,25.02166,121.29068
敬三街口,25.02014+121.28957,25.02014,121.28957
安慶街口,25.01826+121.2919,25.01826,121.2919
